Category,Indicator,Year,SampleSize,Prevalence,CI,State
Pre-pregnancy Health Insurance Status,No insurance,2012,1605,16.3,(14.1-18.7),Ohio
Pre-pregnancy Health Insurance Status,No insurance,2014,1474,13.9,(11.7-16.4),Ohio
Pre-pregnancy Health Insurance Status,No insurance,2015,1322,10.9,(8.7-13.7),Ohio
Health Insurance Status During Pregnancy,Private insurance,2012,1596,57.5,(54.4-60.5),Ohio
Health Insurance Status During Pregnancy,Private insurance,2014,1425,57.2,(53.9-60.5),Ohio
Health Insurance Status During Pregnancy,Private insurance,2015,1299,58.0,(54.1-61.8),Ohio
Health Insurance Status During Pregnancy,Medicaid,2012,1596,38.1,(35.2-41.2),Ohio
Health Insurance Status During Pregnancy,Medicaid,2014,1425,39.7,(36.5-43.1),Ohio
Health Insurance Status During Pregnancy,Medicaid,2015,1299,37.9,(34.2-41.8),Ohio
Health Insurance Status During Pregnancy,No insurance,2012,1639,4.5,(3.4-6.0),Ohio
Health Insurance Status During Pregnancy,No insurance,2014,1495,4.5,(3.4-6.1),Ohio
Health Insurance Status During Pregnancy,No insurance,2015,1340,4.4,(3.0-6.5),Ohio
Health Insurance Status Postpartum,Private insurance,2012,1610,56.5,(53.4-59.6),Ohio
Health Insurance Status Postpartum,Private insurance,2014,1470,55.9,(52.6-59.1),Ohio
Health Insurance Status Postpartum,Private insurance,2015,1314,55.9,(52.0-59.7),Ohio
Health Insurance Status Postpartum,Medicaid,2012,1610,36.3,(33.4-39.3),Ohio
Health Insurance Status Postpartum,Medicaid,2014,1470,41.0,(37.8-44.3),Ohio
Health Insurance Status Postpartum,Medicaid,2015,1314,39.8,(36.1-43.7),Ohio
Health Insurance Status Postpartum,No insurance,2012,1636,7.0,(5.6-8.8),Ohio
Health Insurance Status Postpartum,No insurance,2014,1510,3.0,(2.0-4.4),Ohio
Health Insurance Status Postpartum,No insurance,2015,1344,4.1,(2.8-6.1),Ohio
Infant Sleep Practices,Baby most often laid on back to sleep,2012,1591,79.3,(76.7-81.7),Ohio
Infant Sleep Practices,Baby most often laid on back to sleep,2014,1470,81.7,(79.0-84.2),Ohio
Infant Sleep Practices,Baby most often laid on back to sleep,2015,1314,85.5,(82.7-87.9),Ohio
Breastfeeding Practices,Ever breastfed,2012,1607,78.4,(75.7-80.9),Ohio
Breastfeeding Practices,Ever breastfed,2014,1477,80.4,(77.5-83.1),Ohio
Breastfeeding Practices,Ever breastfed,2015,1321,84.7,(81.6-87.4),Ohio
Breastfeeding Practices,Any breastfeeding at 8 weeks,2012,1591,51.6,(48.5-54.7),Ohio
Breastfeeding Practices,Any breastfeeding at 8 weeks,2014,1460,57.2,(53.9-60.4),Ohio
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,1312,59.2,(55.2-63.0),Ohio
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2012,1833,33.4,(29.8-37.1),Oklahoma
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2013,1888,37.1,(33.4-41.0),Oklahoma
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2014,1854,32.2,(28.6-36.0),Oklahoma
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,1940,37.3,(33.7-41.1),Oklahoma
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2012,1832,32.5,(28.9-36.2),Oklahoma
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2013,1878,30.4,(26.9-34.1),Oklahoma
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2014,1857,33.1,(29.5-37.0),Oklahoma
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,1945,34.0,(30.5-37.7),Oklahoma
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2012,1831,45.4,(41.5-49.4),Oklahoma
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2013,1879,48.2,(44.2-52.1),Oklahoma
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2014,1856,49.1,(45.1-53.2),Oklahoma
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,1947,50.8,(47.0-54.6),Oklahoma
Pre-pregnancy Weight,Underweight (BMI<18.5),2012,1795,5.3,(3.8-7.5),Oklahoma
Pre-pregnancy Weight,Underweight (BMI<18.5),2013,1818,4.4,(2.9-6.5),Oklahoma
Pre-pregnancy Weight,Underweight (BMI<18.5),2014,1807,4.2,(2.8-6.3),Oklahoma
Pre-pregnancy Weight,Underweight (BMI<18.5),2015,1899,3.7,(2.5-5.5),Oklahoma
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2012,1795,24.6,(21.3-28.2),Oklahoma
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2013,1818,25.6,(22.3-29.3),Oklahoma
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2014,1807,24.6,(21.3-28.3),Oklahoma
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2015,1899,26.5,(23.2-30.0),Oklahoma
Pre-pregnancy Weight,Obese (BMI >30),2012,1795,22.9,(19.8-26.4),Oklahoma
Pre-pregnancy Weight,Obese (BMI >30),2013,1818,21.2,(18.1-24.6),Oklahoma
Pre-pregnancy Weight,Obese (BMI >30),2014,1807,24.2,(20.9-27.7),Oklahoma
Pre-pregnancy Weight,Obese (BMI >30),2015,1899,26.8,(23.6-30.3),Oklahoma
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2012,1835,28.6,(25.1-32.5),Oklahoma
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2013,1872,28.4,(24.9-32.2),Oklahoma
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2014,1843,28.8,(25.2-32.8),Oklahoma
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2015,1935,27.3,(23.9-30.8),Oklahoma
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2012,1834,12.0,(9.6-14.9),Oklahoma
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2013,1872,13.1,(10.5-16.1),Oklahoma
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2014,1842,14.8,(12.0-18.0),Oklahoma
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2015,1934,13.7,(11.2-16.6),Oklahoma
Substance Use,Any cigarette smoking postpartum,2012,1834,20.7,(17.6-24.3),Oklahoma
Substance Use,Any cigarette smoking postpartum,2013,1871,18.8,(15.8-22.3),Oklahoma
Substance Use,Any cigarette smoking postpartum,2014,1844,21.7,(18.4-25.5),Oklahoma
Substance Use,Any cigarette smoking postpartum,2015,1937,20.2,(17.2-23.5),Oklahoma
Substance Use,Any alcohol use during the 3 months before pregnancy,2012,1830,54.1,(50.0-58.0),Oklahoma
Substance Use,Any alcohol use during the 3 months before pregnancy,2013,1873,52.2,(48.2-56.1),Oklahoma
Substance Use,Any alcohol use during the 3 months before pregnancy,2014,1840,56.8,(52.7-60.8),Oklahoma
Substance Use,Any alcohol use during the 3 months before pregnancy,2015,1933,52.5,(48.7-56.3),Oklahoma
Substance Use,Any alcohol use during the last 3 months of pregnancy,2012,1829,5.6,(4.1-7.7),Oklahoma
Substance Use,Any alcohol use during the last 3 months of pregnancy,2013,1874,3.9,(2.7-5.7),Oklahoma
Substance Use,Any alcohol use during the last 3 months of pregnancy,2014,1844,7.0,(5.2-9.4),Oklahoma
Substance Use,Any alcohol use during the last 3 months of pregnancy,2015,1936,5.0,(3.6-6.9),Oklahoma
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2012,1836,2.7,(1.7-4.3),Oklahoma
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2013,1877,4.1,(2.8-5.9),Oklahoma
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2014,1848,3.7,(2.3-5.9),Oklahoma
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2015,1943,3.7,(2.5-5.5),Oklahoma
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2012,1836,2.3,(1.3-3.9),Oklahoma
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2013,1877,3.4,(2.2-5.3),Oklahoma
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2014,1848,2.4,(1.4-4.4),Oklahoma
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,1942,2.3,(1.4-3.8),Oklahoma
Depression,Told by a provider had depression before pregnancy,2012,1825,10.8,(8.5-13.6),Oklahoma
Depression,Told by a provider had depression before pregnancy,2013,1872,14.5,(11.9-17.6),Oklahoma
Depression,Told by a provider had depression before pregnancy,2014,1826,10.6,(8.3-13.4),Oklahoma
Depression,Told by a provider had depression before pregnancy,2015,1912,13.1,(10.8-15.9),Oklahoma
Depression,Self-reported postpartum depressive symptoms,2012,1834,14.9,(12.3-18.0),Oklahoma
Depression,Self-reported postpartum depressive symptoms,2013,1864,15.9,(13.2-19.1),Oklahoma
Depression,Self-reported postpartum depressive symptoms,2014,1843,16.4,(13.5-19.9),Oklahoma
Depression,Self-reported postpartum depressive symptoms,2015,1943,16.1,(13.5-19.0),Oklahoma
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2012,1552,42.7,(38.4-47.1),Oklahoma
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2013,1571,39.4,(35.2-43.8),Oklahoma
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2014,1538,40.8,(36.5-45.3),Oklahoma
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,1593,38.0,(34.0-42.2),Oklahoma
Pregnancy Intention and Family Planning,Unsure about pregnancy,2012,1820,15.0,(12.4-18.2),Oklahoma
Pregnancy Intention and Family Planning,Unsure about pregnancy,2013,1881,18.9,(15.9-22.3),Oklahoma
Pregnancy Intention and Family Planning,Unsure about pregnancy,2014,1843,18.0,(14.9-21.4),Oklahoma
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,1934,17.0,(14.3-20.1),Oklahoma
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2012,1823,82.1,(78.9-84.9),Oklahoma
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2013,1867,83.4,(80.4-86.1),Oklahoma
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2014,1849,77.0,(73.3-80.3),Oklahoma
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,1946,81.4,(78.3-84.2),Oklahoma
Health Care Services,Talked to provider about improving health before pregnancy,2012,1830,18.2,(15.4-21.5),Oklahoma
Health Care Services,Talked to provider about improving health before pregnancy,2013,1889,19.9,(17.0-23.2),Oklahoma
Health Care Services,Talked to provider about improving health before pregnancy,2014,1852,18.9,(15.9-22.3),Oklahoma
Health Care Services,Talked to provider about improving health before pregnancy,2015,1938,23.7,(20.6-27.1),Oklahoma
Health Care Services,Began prenatal care in 1st trimester,2012,1819,80.0,(76.5-83.1),Oklahoma
Health Care Services,Began prenatal care in 1st trimester,2013,1873,84.3,(81.1-87.1),Oklahoma
Health Care Services,Began prenatal care in 1st trimester,2014,1825,82.1,(78.6-85.1),Oklahoma
Health Care Services,Began prenatal care in 1st trimester,2015,1926,85.3,(82.3-87.9),Oklahoma
Health Care Services,Took childbirth class,2012,1834,21.9,(18.8-25.5),Oklahoma
Health Care Services,Took childbirth class,2013,1882,16.4,(13.8-19.4),Oklahoma
Health Care Services,Took childbirth class,2014,1855,20.7,(17.6-24.2),Oklahoma
Health Care Services,Took childbirth class,2015,1942,17.7,(14.9-20.8),Oklahoma
Health Care Services,Had home visitor during pregnancy,2012,1837,6.0,(4.3-8.4),Oklahoma
Health Care Services,Had home visitor during pregnancy,2013,1881,4.9,(3.4-7.0),Oklahoma
Health Care Services,Had home visitor during pregnancy,2014,1854,4.6,(3.1-6.7),Oklahoma
Health Care Services,Had home visitor during pregnancy,2015,1942,4.2,(2.9-5.9),Oklahoma
Health Care Services,Had flu shot before or during pregnancy,2012,1793,43.9,(39.9-47.9),Oklahoma
Health Care Services,Had flu shot before or during pregnancy,2013,1861,51.9,(47.8-55.8),Oklahoma
Health Care Services,Had flu shot before or during pregnancy,2014,1836,50.9,(46.8-55.0),Oklahoma
Health Care Services,Had flu shot before or during pregnancy,2015,1919,53.0,(49.1-56.8),Oklahoma
Health Care Services,Had maternal postpartum checkup,2012,1837,87.2,(84.2-89.6),Oklahoma
Health Care Services,Had maternal postpartum checkup,2013,1871,86.4,(83.2-89.0),Oklahoma
Health Care Services,Had maternal postpartum checkup,2014,1848,90.5,(87.8-92.7),Oklahoma
Health Care Services,Had maternal postpartum checkup,2015,1948,87.3,(84.6-89.7),Oklahoma
Oral Health,Teeth cleaned during 12 months before pregnancy,2012,1836,51.7,(47.6-55.6),Oklahoma
Oral Health,Teeth cleaned during 12 months before pregnancy,2013,1880,51.1,(47.1-55.1),Oklahoma
Oral Health,Teeth cleaned during 12 months before pregnancy,2014,1854,50.5,(46.5-54.6),Oklahoma
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,1947,51.5,(47.7-55.3),Oklahoma
Oral Health,Teeth cleaned during pregnancy,2012,1830,50.6,(46.6-54.6),Oklahoma
Oral Health,Teeth cleaned during pregnancy,2013,1870,48.9,(44.9-52.9),Oklahoma
Oral Health,Teeth cleaned during pregnancy,2014,1845,45.4,(41.5-49.5),Oklahoma
Oral Health,Teeth cleaned during pregnancy,2015,1938,41.3,(37.6-45.1),Oklahoma
Oral Health,Had dental insurance during pregnancy,2012,1814,75.3,(71.6-78.6),Oklahoma
Oral Health,Had dental insurance during pregnancy,2013,1851,75.2,(71.7-78.5),Oklahoma
Oral Health,Had dental insurance during pregnancy,2014,1817,74.0,(70.2-77.5),Oklahoma
Oral Health,Had dental insurance during pregnancy,2015,1920,63.7,(59.9-67.3),Oklahoma
Pre-pregnancy Health Insurance Status,Private insurance,2012,1816,48.6,(44.6-52.6),Oklahoma
Pre-pregnancy Health Insurance Status,Private insurance,2013,1860,48.9,(45.0-52.9),Oklahoma
Pre-pregnancy Health Insurance Status,Private insurance,2014,1839,53.1,(49.0-57.2),Oklahoma
Pre-pregnancy Health Insurance Status,Private insurance,2015,1919,54.5,(50.6-58.3),Oklahoma
Pre-pregnancy Health Insurance Status,Medicaid,2012,1816,15.0,(12.2-18.3),Oklahoma
Pre-pregnancy Health Insurance Status,Medicaid,2013,1860,16.3,(13.4-19.8),Oklahoma
Pre-pregnancy Health Insurance Status,Medicaid,2014,1839,12.6,(10.1-15.8),Oklahoma
Pre-pregnancy Health Insurance Status,Medicaid,2015,1919,13.8,(11.4-16.7),Oklahoma
Pre-pregnancy Health Insurance Status,No insurance,2012,1816,32.9,(29.1-36.9),Oklahoma
Pre-pregnancy Health Insurance Status,No insurance,2013,1860,28.9,(25.4-32.7),Oklahoma
Pre-pregnancy Health Insurance Status,No insurance,2014,1839,29.5,(25.8-33.5),Oklahoma
Pre-pregnancy Health Insurance Status,No insurance,2015,1919,28.8,(25.4-32.5),Oklahoma
Health Insurance Status During Pregnancy,Private insurance,2012,1797,44.7,(40.8-48.7),Oklahoma
Health Insurance Status During Pregnancy,Private insurance,2013,1844,44.0,(40.1-48.0),Oklahoma
Health Insurance Status During Pregnancy,Private insurance,2014,1813,47.3,(43.3-51.4),Oklahoma
Health Insurance Status During Pregnancy,Private insurance,2015,1895,50.7,(46.9-54.6),Oklahoma
Health Insurance Status During Pregnancy,Medicaid,2012,1797,52.6,(48.6-56.6),Oklahoma
Health Insurance Status During Pregnancy,Medicaid,2013,1844,53.6,(49.6-57.6),Oklahoma
Health Insurance Status During Pregnancy,Medicaid,2014,1813,51.2,(47.1-55.3),Oklahoma
Health Insurance Status During Pregnancy,Medicaid,2015,1895,46.9,(43.1-50.8),Oklahoma
Health Insurance Status During Pregnancy,No insurance,2012,1830,3.2,(2.1-4.9),Oklahoma
Health Insurance Status During Pregnancy,No insurance,2013,1873,2.5,(1.6-3.9),Oklahoma
Health Insurance Status During Pregnancy,No insurance,2014,1835,1.6,(0.9-2.9),Oklahoma
Health Insurance Status During Pregnancy,No insurance,2015,1930,2.5,(1.5-4.0),Oklahoma
Health Insurance Status Postpartum,Private insurance,2012,1786,45.6,(41.6-49.6),Oklahoma
Health Insurance Status Postpartum,Private insurance,2013,1849,46.5,(42.6-50.5),Oklahoma
Health Insurance Status Postpartum,Private insurance,2014,1834,52.6,(48.5-56.7),Oklahoma
Health Insurance Status Postpartum,Private insurance,2015,1925,52.3,(48.5-56.1),Oklahoma
Health Insurance Status Postpartum,Medicaid,2012,1786,17.7,(14.7-21.2),Oklahoma
Health Insurance Status Postpartum,Medicaid,2013,1849,16.0,(13.2-19.4),Oklahoma
Health Insurance Status Postpartum,Medicaid,2014,1834,14.2,(11.5-17.4),Oklahoma
Health Insurance Status Postpartum,Medicaid,2015,1925,15.3,(12.8-18.3),Oklahoma
Health Insurance Status Postpartum,No insurance,2012,1841,30.5,(26.8-34.4),Oklahoma
Health Insurance Status Postpartum,No insurance,2013,1879,29.1,(25.6-33.0),Oklahoma
Health Insurance Status Postpartum,No insurance,2014,1858,28.9,(25.2-32.9),Oklahoma
Health Insurance Status Postpartum,No insurance,2015,1950,27.6,(24.3-31.2),Oklahoma
Infant Sleep Practices,Baby most often laid on back to sleep,2012,1698,72.6,(68.8-76.1),Oklahoma
Infant Sleep Practices,Baby most often laid on back to sleep,2013,1749,67.8,(63.9-71.6),Oklahoma
Infant Sleep Practices,Baby most often laid on back to sleep,2014,1693,75.3,(71.6-78.8),Oklahoma
Infant Sleep Practices,Baby most often laid on back to sleep,2015,1805,81.2,(78.1-84.0),Oklahoma
Breastfeeding Practices,Ever breastfed,2012,1732,85.7,(82.5-88.4),Oklahoma
Breastfeeding Practices,Ever breastfed,2013,1783,82.7,(79.3-85.7),Oklahoma
Breastfeeding Practices,Ever breastfed,2014,1734,85.0,(81.6-87.8),Oklahoma
Breastfeeding Practices,Ever breastfed,2015,1857,85.0,(81.9-87.6),Oklahoma
Breastfeeding Practices,Any breastfeeding at 8 weeks,2012,1725,55.7,(51.6-59.7),Oklahoma
Breastfeeding Practices,Any breastfeeding at 8 weeks,2013,1773,53.2,(49.2-57.3),Oklahoma
Breastfeeding Practices,Any breastfeeding at 8 weeks,2014,1721,55.2,(51.0-59.2),Oklahoma
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,1842,57.8,(54.0-61.6),Oklahoma
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2012,762,45.6,(40.6-50.7),Oregon
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2013,1517,41.5,(38.0-45.1),Oregon
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,1439,43.3,(39.5-47.1),Oregon
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2012,769,33.6,(29.0-38.7),Oregon
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2013,1533,30.0,(26.8-33.5),Oregon
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,1457,30.1,(26.7-33.8),Oregon
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2012,768,57.2,(52.2-62.1),Oregon
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2013,1526,60.5,(56.9-63.9),Oregon
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,1459,55.9,(52.0-59.6),Oregon
Pre-pregnancy Weight,Underweight (BMI<18.5),2012,740,3.8,(2.2-6.3),Oregon
Pre-pregnancy Weight,Underweight (BMI<18.5),2013,1470,3.7,(2.5-5.6),Oregon
Pre-pregnancy Weight,Underweight (BMI<18.5),2015,1408,2.6,(1.6-4.2),Oregon
